timestamp,open,high,low,close,volume
2026-08-03T15:05:00-04:00,101.62,101.71,101.54,101.63,659194
2026-08-03T15:10:00-04:00,101.63,101.73,101.53,101.63,561147
2026-08-03T15:15:00-04:00,101.63,101.71,101.51,101.59,568092
2026-08-03T15:20:00-04:00,101.59,101.67,101.46,101.54,681049
2026-08-03T15:25:00-04:00,101.54,101.61,101.41,101.48,651587
2026-08-03T15:30:00-04:00,101.48,101.59,101.33,101.43,682529
2026-08-03T15:35:00-04:00,101.43,101.52,101.32,101.40,641974
2026-08-03T15:40:00-04:00,101.40,101.48,101.25,101.33,621591
2026-08-03T15:45:00-04:00,101.33,101.45,101.18,101.29,646303
2026-08-03T15:50:00-04:00,101.29,101.38,101.13,101.21,661638
2026-08-03T15:55:00-04:00,101.21,101.28,101.07,101.14,677458
